tag	description
E41BAR07	Barra de Tensión 1- 13,2kV
E41DUC01	Ducto Secundario TR 2- 13,2kV
E41DUC07	Ducto Secundario TR 1- 13,2kV
E41II_01	Corriente Alimentador TR2 13.2KV
E41II_02	Corriente Distribuidor 1 Barra 2- E.Rios (calle)
E41II_03	Corriente Distribuidor 2 Barra 2: Calle F.Serv
E41II_05	Corriente Distribuidor 3 Barra 1- E.Rios (vereda)
E41II_06	Corriente Distribuidor 4 Barra 1- Parana (vereda)
E41II_07	Corriente Alimentador TR1 13.2KV
E41NDC01	Numerador de Campo Alimentador Trafo 2 13,2KV
E41NDC02	Numerador de Campo Distribuidor 1 Barra 2- E.Rios (calle)
E41NDC03	Numerador de Campo Distribuidor 2 Barra 2: Calle
E41NDC04	Numerador de Campo Acoplamiento Barra 1-2 13,2KV
E41NDC05	Numerador de Campo Distribuidor 3 Barra 1- E.Rios (vereda)
E41NDC06	Numerador de Campo Distribuidor 4 Barra 1- Parana (vereda)
E41NDC07	Numerador de Campo Alimentador Trafo 1 13,2KV
E41SS_01	Potencia aparente Alimentador TR2 13.2KV
E41SS_02	Potencia aparente Distribuidor 1 Barra 2- E.Rios (calle)
E41SS_03	Potencia aparente Distribuidor 2 Barra 2: Calle F.Serv
E41SS_05	Potencia aparente Distribuidor 3 Barra 1- E.Rios (vereda)
E41SS_06	Potencia aparente Distribuidor 4 Barra 1- Parana (vereda)
E41SS_07	Potencia aparente Alimentador TR1 13.2KV
E41TCT01	Tramo Campo Tierra Alimentador Trafo 2 13,2KV
E41TCT02	Tramo Campo Tierra Distribuidor 1 Barra 2- E.Rios (calle)
E41TCT03	Tramo Campo Tierra Distribuidor 2 Barra 2: Calle
E41TCT05	Tramo Campo Tierra Distribuidor 3 Barra 1- E.Rios (vereda)
E41TCT06	Tramo Campo Tierra Distribuidor 4 Barra 1- Parana (vereda)
E41TCT07	Tramo Campo Tierra Alimentador Trafo 1 13,2KV
E41TDB01	Titulador de Barra 2- 13,2kV
E41TDB07	Titulador de Barra 1- 13,2kV
E41TEC01	Texto Estado Campo Alimentador Trafo 2 13,2KV
E41TEC02	Texto Estado Campo Distribuidor 1 Barra 2- E.Rios (calle)
E41TEC03	Texto Estado Campo Distribuidor 2 Barra 2: Calle
E41TEC04	Texto Estado Campo Acoplamiento Barra 1-2 13,2KV
E41TEC05	Texto Estado Campo Distribuidor 3 Barra 1- E.Rios (vereda)
E41TEC06	Texto Estado Campo Distribuidor 4 Barra 1- Parana (vereda)
E41TEC07	Texto Estado Campo Alimentador Trafo 1 13,2KV
E41TIC01	Texto Identificador Campo Alimentador Trafo 2 13,2KV
E41TIC02	Texto Identificador Campo Distribuidor 1 Barra 2- E.Rios (calle)
E41TIC03	Texto Identificador Campo Distribuidor 2 Barra 2: Calle
E41TIC04	Texto Identificador Campo Acoplamiento Barra 1-2 13,2KV
E41TIC05	Texto Identificador Campo Distribuidor 3 Barra 1- E.Rios (vereda)
E41TIC06	Texto Identificador Campo Distribuidor 4 Barra 1- Parana (vereda)
E41TIC07	Texto Identificador Campo Alimentador Trafo 1 13,2KV
E41TIE01	Tierra Alimentador Trafo 2 13,2KV
E41TIE02	Tierra Distribuidor 1 Barra 2- E.Rios (calle)
E41TIE03	Tierra Distribuidor 2 Barra 2: Calle
E41TIE05	Tierra Distribuidor 3 Barra 1- E.Rios (vereda)
E41TIE06	Tierra Distribuidor 4 Barra 1- Parana (vereda)
E41TIE07	Tierra Alimentador Trafo 1 13,2KV
E41VV_01	Tensión Barra 2- 13.2KV
E41VV_07	Tensión Barra 1- 13.2KV
